ID	文本
EmbeddedTextMapData_TextMapContent_TEST_EMBEDDED_TEXT	測試包內文本
EmbeddedTextMapData_TextMapContent_QUIT	退出
EmbeddedTextMapData_TextMapContent_RETRY	重試
EmbeddedTextMapData_TextMapContent_YES	是
EmbeddedTextMapData_TextMapContent_NO	否
EmbeddedTextMapData_TextMapContent_VERSION	版本號
EmbeddedTextMapData_TextMapContent_TIP_TITLE	提示
EmbeddedTextMapData_TextMapContent_CANNOT_REACH_NETWORK	無法連接網路
EmbeddedTextMapData_TextMapContent_CANNOT_REAL_REACH_NETWORK	當前網路連線狀況異常，請檢查後重試
EmbeddedTextMapData_TextMapContent_WEAK_SIGNAL	網路訊號較弱，請檢查網路連通性
EmbeddedTextMapData_TextMapContent_WRITE_FAILED	寫入記憶體失敗，請檢查SD卡權限
EmbeddedTextMapData_TextMapContent_NOT_ENOUGH_SPACE	硬碟空間不足，請清理後重試
EmbeddedTextMapData_TextMapContent_CHECK_ENVIRONMENT	檢查環境中…
EmbeddedTextMapData_TextMapContent_CHECK_UPDATE	檢查更新中…
EmbeddedTextMapData_TextMapContent_DOWNLOADING_ASSETS	下載資源中…
EmbeddedTextMapData_TextMapContent_DOWNLOADING_INDEX	下載索引檔…
EmbeddedTextMapData_TextMapContent_AUDIO	音訊
EmbeddedTextMapData_TextMapContent_VEDIO	影片
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_DOWNLOADING	有{0}{1}資源檔需要下載，是否下載？
EmbeddedTextMapData_TextMapContent_LOADING_GAME	正在載入遊戲…
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_UPDATE_RES	有新的資源更新，是否下載?(開發期下載新資源可能會導致資源和代碼版本不同步，請慎重選擇。)
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TITLE	登入
EmbeddedTextMapData_TextMapContent_UI_LOGIN_USER_LABEL	用戶
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_LABEL	帳號
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PHONENUMBER_PLACEHOLDER	請輸入手機號碼
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_PLACEHOLDER	請輸入帳號
EmbeddedTextMapData_TextMapContent_UI_LOGIN_EMAIL_PLACEHOLDER	請輸入登入信箱
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_LABEL	密碼
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_PLACEHOLDER	請輸入密碼
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PRESS_TO_CONTINUE	點擊任意鍵繼續
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_TO_DOWNLOAD	準備下載資源
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_DATA	準備載入數據
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR	登入失敗
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_IS_EMPTY	帳號為空
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_IS_EMPTY	密碼為空
EmbeddedTextMapData_TextMapContent_UI_LOGIN_BEGIN_GAME_BTN	開始遊戲
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TOUCH_TO_ENTER	點擊進入
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_SERVER	選擇伺服器
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_DESC	已為您選擇最佳連線品質伺服器\n是否切換伺服器至\n
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_TIPS	注意：各伺服器角色資料不互通
EmbeddedTextMapData_TextMapContent_LOGIN_VISITOR_NAME	遊客
EmbeddedTextMapData_TextMapContent_UI_LOGIN_VISITOR_CONFIRM	遊客登入
EmbeddedTextMapData_TextMapContent_UI_LOGIN_CONFIRM	確認
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_TITLE	
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_DESC	確認退出遊戲嗎？
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_OK	確認
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_CANCEL	取消
EmbeddedTextMapData_TextMapContent_UI_HTTP_ERROR	訪問失敗
EmbeddedTextMapData_TextMapContent_UI_DOWNLOAD_ERROR	資源文件下載失敗或網路問題，請重試
EmbeddedTextMapData_TextMapContent_UI_ENET_REGION_ERROR	地址獲取失敗
EmbeddedTextMapData_TextMapContent_UI_BETA_CANVAS_INFO	刪檔內測，不代表最終品質
EmbeddedTextMapData_TextMapContent_UI_ENET_STOP_SERVER	停服維護：{0} 到 {1}
EmbeddedTextMapData_TextMapContent_UI_ENET_FORCE_UPDATE	用戶端需要更新：{0}
EmbeddedTextMapData_TextMapContent_UI_ENET_DISCONNECT	中斷連線
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_INFO	本次測試支援的行動裝置為：{0}
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_TITLE	請使用指定的裝置型號進行遊戲
EmbeddedTextMapData_TextMapContent_UI_LOGO_HEALTHY_GAMING_TIPS	 
EmbeddedTextMapData_TextMapContent_UI_NETWORK_EXCEPTION	網絡異常，請重啓游戲或設備，或關閉網絡代理
