ID	文本
WeaponData_Name_11101	無鋒劍
WeaponData_Desc_11101	少年人的夢想、踏上旅途的興奮——如果這兩種珍貴的品質還不夠鋒利，那就用勇氣補足吧。
WeaponData_Name_11201	銀劍
WeaponData_Desc_11201	能退魔的銀劍。大家都知道，其實用料是銀合金而不是純銀。
WeaponData_Name_11301	岩鋼劍
WeaponData_Desc_11301	採用南島的新興工藝淬煉而成，適用於各類戰場的單手兵器。
WeaponData_Name_11302	黎明神劍
WeaponData_Desc_11302	一把曾經耀若朝陽的寶劍，掌握它的人會獲得「自我感覺良好」的力量加持。劍身上的發光材料已經褪去。
WeaponData_Name_11303	旅行劍
WeaponData_Desc_11303	趁手的鋼劍，劍柄裡藏著剪子、放大鏡、火絨等方便旅行的小物件。
WeaponData_Name_11304	暗鐵劍
WeaponData_Desc_11304	其實就是稍微有些黑的鐵劍。
WeaponData_Name_11305	吃虎魚刀
WeaponData_Desc_11305	用來剖魚的鋒利鐵刀，刀身狹長。雖然容易鈍，但真的很利。
WeaponData_Name_11306	飛天禦劍
WeaponData_Desc_11306	可靠的鋼劍，曾經有人試圖憑藉它飛天。
WeaponData_Name_11401	西風劍
WeaponData_Desc_11401	西風騎士團的制式長劍。輕快銳利之餘，也能輕易匯出元素力量。
WeaponData_Name_11402	笛劍
WeaponData_Desc_11402	細劍的鏽跡下透露出原本華麗的裝飾，揮舞時輕若無物。
WeaponData_Name_11403	祭禮劍
WeaponData_Desc_11403	在漫長歲月中石化的道具劍，上面的儀式性裝飾依然清晰可見。擁有受時間之風沖刷的祝福力量。
WeaponData_Name_11404	宗室長劍
WeaponData_Desc_11404	曾支配蒙德的舊日貴族佩劍。做工精良，裝飾與雕花也彰顯揮舞者的身份。
WeaponData_Name_11405	匣裡龍吟
WeaponData_Desc_11405	雕飾浮華的利刃，卻絲毫不損它的柔韌與鋒銳。破空之聲有如龍吟。
WeaponData_Name_11406	試做斬岩
WeaponData_Desc_11406	黑岩廠中秘藏的原型長劍，揮砍斷岩而刃不卷。無論是工藝還是材質都極其傑出。
WeaponData_Name_11407	鐵蜂刺
WeaponData_Desc_11407	外形流利的細長刺劍，是從異國經由商路流落到璃月的奇異兵器。輕快無比，劍芒極銳利。
WeaponData_Name_11408	黑岩長劍
WeaponData_Desc_11408	黑岩廠最高規格的量產兵器，從測試資料而言可以斬斷鋼鐵。極鋒利的長劍。
WeaponData_Name_11501	 風鷹劍
WeaponData_Desc_11501	西風騎士團的靈魂。歷經千年仍在呼喚你卷起正義之風，祓除奸邪，一如上一位揮舞此劍的女傑。
WeaponData_Name_11502	天空之刃
WeaponData_Desc_11502	象徵風魔龍的榮譽失而復得的騎士劍。劍脊上吹息著風之神的賜福，蘊含蒼空與長風的力量。
WeaponData_Name_11503	北風的早成
WeaponData_Desc_11503	北風的騎士所使的長劍。原本只是平淡趁手的鋼劍，卻在他的傳奇和身世的謎團中，獲得神話般的力量。
WeaponData_Name_11504	流浪的田園詩
WeaponData_Desc_11504	傳說中，與風之神同行的詩人獲賜的的細劍。獎賞的是他流浪的自由與田園的恬靜。
WeaponData_Name_11505	昆吾無名
WeaponData_Desc_11505	削琉璃如切泥的長劍，具有名匠昆吾全盛時的才華。來歷無人可知。揮舞時若有靈，劍客與無名一心同體。
WeaponData_Name_11506	磐岩結綠
WeaponData_Desc_11506	苔蘚染綠的大岩刀，受了岩之神的勸誡與祝福。外表的粗重具有致命的欺騙性。
WeaponData_Name_11507	憑虛
WeaponData_Desc_11507	最初用兵器彌補失去的力量的仙人所使用的劍。斬殺過無數的妖魔，最終也終結了過去的同族。
WeaponData_Name_12101	訓練大劍
WeaponData_Desc_12101	僅僅是削出了劍形的厚重鐵片。在意志強韌的人手裡，也有劈開磐石的力量。
WeaponData_Name_12201	傭兵重劍
WeaponData_Desc_12201	沉重堅實的古舊大劍，飽經戰火與歲月的洗鍊。
WeaponData_Name_12301	鐵影闊劍
WeaponData_Desc_12301	這把劍是著名的光之獅艾倫德林的佩劍的仿品。握緊它，感受傳說中大英雄的力量吧！注意：幻想請適度。
WeaponData_Name_12302	沐浴龍血的劍
WeaponData_Desc_12302	據說是北方英雄浸過龍血的鋼鐵大劍，有刀槍不入的神力……這種護佑並不會延伸到揮舞它的人身上。
WeaponData_Name_12303	白鐵大劍
WeaponData_Desc_12303	白鐵鍛成的雙手劍，兼顧了重量與強度。即使臂力一般的人也能舞得生風，在力量強大者手中更是威力無窮。
WeaponData_Name_12304	石英大劍
WeaponData_Desc_12304	簡單不失格調，由海安商會前任首席會計師梁石英設計。雖然梁總會計早已因收受賄賂被革職，但這款趁手的重兵器依然在璃月冒險者間流行。
WeaponData_Name_12305	以理服人
WeaponData_Desc_12305	精鋼打造的趁手大鐵棒子。最好的理論依據。
WeaponData_Name_12306	飛天大禦劍
WeaponData_Desc_12306	可靠的大劍。道理是大就是好，所以劍越大越好。
WeaponData_Name_12401	西風大劍
WeaponData_Desc_12401	西風騎士團的制式重型劍。能輕易導出元素力量，具有卓越的破壞力。
WeaponData_Name_12402	鐘劍
WeaponData_Desc_12402	傷痕累累的大劍，原本佈滿劍的飾物和回憶都已被剝除。
WeaponData_Name_12403	祭禮大劍
WeaponData_Desc_12403	在漫長歲月中石化的道具大劍，上面的儀式性裝飾依然清晰可見。擁有受時間之風沖刷的祝福力量。
WeaponData_Name_12404	宗室大劍
WeaponData_Desc_12404	曾支配蒙德的舊日貴族大劍。用料極佳，歷久猶彌新。是貴族的戰鬥兵器。
WeaponData_Name_12405	匣裡虎嘯
WeaponData_Desc_12405	雕飾古樸的大劍，卻絲毫不損它的沉重與堅實。破空之聲有如虎嘯。
WeaponData_Name_12406	試做古華
WeaponData_Desc_12406	黑岩廠中秘藏的原型大刀，揮舞時的威勢就像要將空間本身也一刀兩斷。
WeaponData_Name_12407	白影劍
WeaponData_Desc_12407	劍身上有一截不開刃的異國大劍，經商路流落到璃月。在瞭解它的人手裡，破壞力極可觀。
WeaponData_Name_12408	黑岩斬刀
WeaponData_Desc_12408	黑岩廠最高規格的量產兵器，從測試資料而言可以斬斷鋼鐵。極堅韌的大刀。
WeaponData_Name_12501	天空之傲
WeaponData_Desc_12501	象徵風魔龍的驕傲廣布長空的雙手劍。揮舞時的低吟是風魔龍的氣勢，蘊含蒼空與長風的力量。
WeaponData_Name_12502	狼的末路
WeaponData_Desc_12502	狼的騎士所使的大劍。原本只是城中鐵匠贈予的厚重的鐵片，卻在他與狼的情誼中，獲得神話般的力量。
WeaponData_Name_12503	革新的諷刺詩
WeaponData_Desc_12503	傳說中，與風之神同行的詩人獲賜的的大劍。獎賞的是他革新的勇氣與諷刺的尖刻。
