ID	文本
WeaponData_Name_11101	无锋剑
WeaponData_Desc_11101	少年人的梦想、踏上旅途的兴奋——如果这两种珍贵的品质还不够锋利，那就用勇气补足吧。
WeaponData_Name_11201	银剑
WeaponData_Desc_11201	能退魔的银剑。大家都知道，其实用料是银合金而不是纯银。
WeaponData_Name_11301	岩钢剑
WeaponData_Desc_11301	采用南岛的新兴工艺淬炼而成，适用于各类战场的单手兵器。
WeaponData_Name_11302	黎明神剑
WeaponData_Desc_11302	一把曾经耀若朝阳的宝剑，掌握它的人会获得「自我感觉良好」的力量加持。剑身上的发光材料已经褪去。
WeaponData_Name_11303	#$#旅行剑
WeaponData_Desc_11303	#$#趁手的钢剑，剑柄里藏着剪子、放大镜、火绒等方便旅行的小物件。
WeaponData_Name_11304	#$#暗铁剑
WeaponData_Desc_11304	#$#其实就是稍微有些黑的铁剑。
WeaponData_Name_11305	#$#吃虎鱼刀
WeaponData_Desc_11305	#$#用来剖鱼的锋利铁刀，刀身狭长。虽然容易钝，但真的很利。
WeaponData_Name_11306	#$#飞天御剑
WeaponData_Desc_11306	#$#可靠的钢剑，曾经有人试图凭借它飞天。
WeaponData_Name_11401	西风剑
WeaponData_Desc_11401	西风骑士团的制式长剑。轻快锐利之余，也能轻易导出元素力量。
WeaponData_Name_11402	笛剑
WeaponData_Desc_11402	细剑的锈迹下透露出原本华丽的装饰，挥舞时轻若无物。
WeaponData_Name_11403	祭礼剑
WeaponData_Desc_11403	在漫长岁月中石化的道具剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。
WeaponData_Name_11404	宗室长剑
WeaponData_Desc_11404	曾支配蒙德的旧日贵族佩剑。做工精良，装饰与雕花也彰显挥舞者的身份。
WeaponData_Name_11405	#$#匣里龙吟
WeaponData_Desc_11405	#$#雕饰浮华的利刃，却丝毫不损它的柔韧与锋锐。破空之声有如龙吟。
WeaponData_Name_11406	#$#试做斩岩
WeaponData_Desc_11406	#$#黑岩厂中秘藏的原型长剑，挥砍断岩而刃不卷。无论是工艺还是材质都极其杰出。
WeaponData_Name_11407	#$#铁蜂刺
WeaponData_Desc_11407	#$#外形流利的细长刺剑，是从异国经由商路流落到璃月的奇异兵器。轻快无比，剑芒极锐利。
WeaponData_Name_11408	#$#黑岩长剑
WeaponData_Desc_11408	#$#黑岩厂最高规格的量产兵器，从实验数据而言可以斩断钢铁。极锋利的长剑。
WeaponData_Name_11501	#$# 风鹰剑
WeaponData_Desc_11501	#$#西风骑士团的灵魂。历经千年仍在呼唤你卷起正义之风，祓除奸邪，一如上一位挥舞此剑的女杰。
WeaponData_Name_11502	#$#天空之刃
WeaponData_Desc_11502	#$#象征风魔龙的荣誉失而复得的骑士剑。剑脊上吹息着风之神的赐福，蕴含苍空与长风的力量。
WeaponData_Name_11503	#$#北风的早成
WeaponData_Desc_11503	#$#北风的骑士所使的长剑。原本只是平淡趁手的钢剑，却在他的传奇和身世的谜团中，获得神话般的力量。
WeaponData_Name_11504	#$#流浪的田园诗
WeaponData_Desc_11504	#$#传说中，与风之神同行的诗人获赐的的细剑。奖赏的是他流浪的自由与田园的恬静。
WeaponData_Name_11505	#$#昆吾无名
WeaponData_Desc_11505	#$#削琉璃如切泥的长剑，具有名匠昆吾全盛时的才华。来历无人可知。挥舞时若有灵，剑客与无名一心同体。
WeaponData_Name_11506	#$#磐岩结绿
WeaponData_Desc_11506	#$#苔藓染绿的大岩刀，受了岩之神的劝诫与祝福。外表的粗重具有致命的欺骗性。
WeaponData_Name_11507	#$#凭虚
WeaponData_Desc_11507	#$#最初用兵器弥补失去的力量的仙人所使用的剑。斩杀过无数的妖魔，最终也终结了过去的同族。
WeaponData_Name_12101	训练大剑
WeaponData_Desc_12101	仅仅是削出了剑形的厚重铁片。在意志强韧的人手里，也有劈开磐石的力量。
WeaponData_Name_12201	佣兵重剑
WeaponData_Desc_12201	沉重坚实的古旧大剑，饱经战火与岁月的洗练。
WeaponData_Name_12301	铁影阔剑
WeaponData_Desc_12301	这把剑是著名的光之狮艾伦德林的佩剑的仿品。握紧它，感受传说中大英雄的力量吧！注意：幻想请适度。
WeaponData_Name_12302	沐浴龙血的剑
WeaponData_Desc_12302	据说是北方英雄浸过龙血的钢铁大剑，有刀枪不入的神力……这种护佑并不会延伸到挥舞它的人身上。
WeaponData_Name_12303	白铁大剑
WeaponData_Desc_12303	白铁锻成的双手剑，兼顾了重量与强度。即使臂力一般的人也能舞得生风，在力量强大者手中更是威力无穷。
WeaponData_Name_12304	#$#石英大剑
WeaponData_Desc_12304	#$#简单不失格调，由海安商会前任首席会计师梁石英设计。虽然梁总会计早已因收受贿赂被革职，但这款趁手的重兵器依然在璃月冒险者间流行。
WeaponData_Name_12305	#$#以理服人
WeaponData_Desc_12305	#$#精钢打造的趁手大铁棒子。最好的理论依据。
WeaponData_Name_12306	#$#飞天大御剑
WeaponData_Desc_12306	#$#可靠的大剑。道理是大就是好，所以剑越大越好。
WeaponData_Name_12401	西风大剑
WeaponData_Desc_12401	西风骑士团的制式重型剑。能轻易导出元素力量，具有卓越的破坏力。
WeaponData_Name_12402	#$#钟剑
WeaponData_Desc_12402	#$#伤痕累累的大剑，原本布满剑的饰物和回忆都已被剥除。
WeaponData_Name_12403	祭礼大剑
WeaponData_Desc_12403	在漫长岁月中石化的道具大剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。
WeaponData_Name_12404	宗室大剑
WeaponData_Desc_12404	曾支配蒙德的旧日贵族大剑。用料极佳，历久犹弥新。是贵族的战斗兵器。
WeaponData_Name_12405	#$#匣里虎啸
WeaponData_Desc_12405	#$#雕饰古朴的大剑，却丝毫不损它的沉重与坚实。破空之声有如虎啸。
WeaponData_Name_12406	#$#试做古华
WeaponData_Desc_12406	#$#黑岩厂中秘藏的原型大刀，挥舞时的威势就像要将空间本身也一刀两断。
WeaponData_Name_12407	#$#白影剑
WeaponData_Desc_12407	#$#剑身上有一截不开刃的异国大剑，经商路流落到璃月。在了解它的人手里，破坏力极可观。
WeaponData_Name_12408	#$#黑岩斩刀
WeaponData_Desc_12408	#$#黑岩厂最高规格的量产兵器，从实验数据而言可以斩断钢铁。极坚韧的大刀。
WeaponData_Name_12501	#$#天空之傲
WeaponData_Desc_12501	#$#象征风魔龙的骄傲广布长空的双手剑。挥舞时的低吟是风魔龙的气势，蕴含苍空与长风的力量。
WeaponData_Name_12502	#$#狼的末路
WeaponData_Desc_12502	#$#狼的骑士所使的大剑。原本只是城中铁匠赠予的厚重的铁片，却在他与狼的情谊中，获得神话般的力量。
WeaponData_Name_12503	#$#革新的讽刺诗
