ID	文本
EmbeddedTextMapData_TextMapContent_TEST_EMBEDDED_TEXT	테스트 서버 문서
EmbeddedTextMapData_TextMapContent_QUIT	나가기
EmbeddedTextMapData_TextMapContent_RETRY	재시도
EmbeddedTextMapData_TextMapContent_YES	네
EmbeddedTextMapData_TextMapContent_NO	아니요
EmbeddedTextMapData_TextMapContent_VERSION	버전
EmbeddedTextMapData_TextMapContent_TIP_TITLE	알림
EmbeddedTextMapData_TextMapContent_CANNOT_REACH_NETWORK	감지된 네트워크 연결이 없습니다
EmbeddedTextMapData_TextMapContent_CANNOT_REAL_REACH_NETWORK	네트워크 연결이 원활하지 않습니다. 확인 후 다시 시도하세요
EmbeddedTextMapData_TextMapContent_WEAK_SIGNAL	네트워크 신호가 약합니다. 네트워크를 확인해주세요
EmbeddedTextMapData_TextMapContent_WRITE_FAILED	메모리 입력 실패, SD카드 권한을 확인하세요
EmbeddedTextMapData_TextMapContent_NOT_ENOUGH_SPACE	저장 공간 부족, 정리 후 다시 시도하세요
EmbeddedTextMapData_TextMapContent_CHECK_ENVIRONMENT	환경 검사 중...
EmbeddedTextMapData_TextMapContent_CHECK_UPDATE	업데이트 체크 중...
EmbeddedTextMapData_TextMapContent_DOWNLOADING_ASSETS	리소스 다운로드 중...
EmbeddedTextMapData_TextMapContent_DOWNLOADING_INDEX	인덱스 다운로드 중...
EmbeddedTextMapData_TextMapContent_AUDIO	음성
EmbeddedTextMapData_TextMapContent_VEDIO	영상
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_DOWNLOADING	{0} {1} 리소스 다운로드가 필요합니다. 다운로드 하시겠나요?
EmbeddedTextMapData_TextMapContent_LOADING_GAME	LOADING...
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_UPDATE_RES	새로운 리소스 업데이트가 있습니다. 다운로드하시겠습니까? (테스트 단계에서 새로운 리소스를 업데이트하면 리소스와 코드에 영향을 줄 수 있습니다. 신중히 선택해주세요)
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TITLE	로그인
EmbeddedTextMapData_TextMapContent_UI_LOGIN_USER_LABEL	사용자
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_LABEL	아이디
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PHONENUMBER_PLACEHOLDER	휴대폰 번호를 입력하세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_PLACEHOLDER	아이디를 입력하세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_EMAIL_PLACEHOLDER	메일을 입력하세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_LABEL	비밀번호
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_PLACEHOLDER	비밀번호를 입력하세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PRESS_TO_CONTINUE	터치하여 계속
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_TO_DOWNLOAD	리소스 다운로드 준비
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_DATA	데이터 로딩 중...
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR	로그인 실패
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_IS_EMPTY	아이디를 입력해주세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_IS_EMPTY	비밀번호를 입력해주세요
EmbeddedTextMapData_TextMapContent_UI_LOGIN_BEGIN_GAME_BTN	GAME START
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TOUCH_TO_ENTER	TAP TO START
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_SERVER	서버 선택
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_DESC	연결이 가장 원활한 서버를 선택했습니다\n서버를 교체하시겠습니까?\n
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_TIPS	주의사항: 각 서버의 캐릭터는 공유되지 않습니다
EmbeddedTextMapData_TextMapContent_LOGIN_VISITOR_NAME	게스트
EmbeddedTextMapData_TextMapContent_UI_LOGIN_VISITOR_CONFIRM	게스트 로그인
EmbeddedTextMapData_TextMapContent_UI_LOGIN_CONFIRM	확인
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_TITLE	
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_DESC	게임에서 나가시겠나요?
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_OK	확인
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_CANCEL	취소
EmbeddedTextMapData_TextMapContent_UI_HTTP_ERROR	방문 실패
EmbeddedTextMapData_TextMapContent_UI_DOWNLOAD_ERROR	리소스 파일 다운로드 실패 혹은 인터넷 연결이 원활하지 않습니다. 다시 시도해주세요
EmbeddedTextMapData_TextMapContent_UI_ENET_REGION_ERROR	주소 획득 실패
EmbeddedTextMapData_TextMapContent_UI_BETA_CANVAS_INFO	테스트 파일을 삭제해도 게임에 영향을 주지 않습니다
EmbeddedTextMapData_TextMapContent_UI_ENET_STOP_SERVER	서버 점검: {0}~{1}
EmbeddedTextMapData_TextMapContent_UI_ENET_FORCE_UPDATE	클라이언트 업데이트 필요: {0}
EmbeddedTextMapData_TextMapContent_UI_ENET_DISCONNECT	연결이 끊어졌습니다
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_INFO	이번 테스트에서 지원하는 기기:{0}
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_TITLE	지정된 기종으로 게임을 진행해주세요
EmbeddedTextMapData_TextMapContent_UI_LOGO_HEALTHY_GAMING_TIPS	      
EmbeddedTextMapData_TextMapContent_UI_NETWORK_EXCEPTION	 
