ID	文本
EmbeddedTextMapData_TextMapContent_TEST_EMBEDDED_TEXT	测试包内文本
EmbeddedTextMapData_TextMapContent_QUIT	退出
EmbeddedTextMapData_TextMapContent_RETRY	重试
EmbeddedTextMapData_TextMapContent_YES	是
EmbeddedTextMapData_TextMapContent_NO	否
EmbeddedTextMapData_TextMapContent_VERSION	版本号
EmbeddedTextMapData_TextMapContent_TIP_TITLE	提示
EmbeddedTextMapData_TextMapContent_CANNOT_REACH_NETWORK	无法访问网络
EmbeddedTextMapData_TextMapContent_CANNOT_REAL_REACH_NETWORK	当前网络连接状况异常，请检查后重试
EmbeddedTextMapData_TextMapContent_WEAK_SIGNAL	网络信号较弱，请检查网络连通性
EmbeddedTextMapData_TextMapContent_WRITE_FAILED	写入内存失败，请检查SD卡权限
EmbeddedTextMapData_TextMapContent_NOT_ENOUGH_SPACE	磁盘空间不足，请清理后重试
EmbeddedTextMapData_TextMapContent_CHECK_ENVIRONMENT	检查环境中…
EmbeddedTextMapData_TextMapContent_CHECK_UPDATE	检查更新中…
EmbeddedTextMapData_TextMapContent_DOWNLOADING_ASSETS	下载资源中…
EmbeddedTextMapData_TextMapContent_DOWNLOADING_INDEX	下载索引文件…
EmbeddedTextMapData_TextMapContent_AUDIO	音频
EmbeddedTextMapData_TextMapContent_VEDIO	视频
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_DOWNLOADING	有{0}{1}资源文件需要下载，是否下载？
EmbeddedTextMapData_TextMapContent_LOADING_GAME	正在加载游戏…
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_UPDATE_RES	有新的资源更新，是否下载?(开发期下载新资源可能会导致资源和代码版本不同步，请慎重选择。)
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TITLE	登录
EmbeddedTextMapData_TextMapContent_UI_LOGIN_USER_LABEL	用户
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_LABEL	账号
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PHONENUMBER_PLACEHOLDER	请输入手机号
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_PLACEHOLDER	请输入账号
EmbeddedTextMapData_TextMapContent_UI_LOGIN_EMAIL_PLACEHOLDER	请输入登陆邮箱
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_LABEL	密码
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_PLACEHOLDER	请输入密码
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PRESS_TO_CONTINUE	点击任意键继续
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_TO_DOWNLOAD	准备下载资源
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_DATA	准备加载数据
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR	登录失败
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_IS_EMPTY	账号为空
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_IS_EMPTY	密码为空
EmbeddedTextMapData_TextMapContent_UI_LOGIN_BEGIN_GAME_BTN	开始游戏
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TOUCH_TO_ENTER	点击进入
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_SERVER	选择服务器
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_DESC	已为您选择最佳连线品质服务器\n是否切换服务器至\n
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_TIPS	注意：各服务器角色资料不互通
EmbeddedTextMapData_TextMapContent_LOGIN_VISITOR_NAME	游客
EmbeddedTextMapData_TextMapContent_UI_LOGIN_VISITOR_CONFIRM	游客登录
EmbeddedTextMapData_TextMapContent_UI_LOGIN_CONFIRM	确认
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_TITLE	
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_DESC	确认退出游戏吗？
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_OK	确认
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_CANCEL	取消
EmbeddedTextMapData_TextMapContent_UI_HTTP_ERROR	访问失败
EmbeddedTextMapData_TextMapContent_UI_DOWNLOAD_ERROR	资源文件下载失败或网络问题，请重试
EmbeddedTextMapData_TextMapContent_UI_ENET_REGION_ERROR	地址获取失败
EmbeddedTextMapData_TextMapContent_UI_BETA_CANVAS_INFO	删档内测，不代表最终品质
EmbeddedTextMapData_TextMapContent_UI_ENET_STOP_SERVER	停服维护：{0} 到 {1}
EmbeddedTextMapData_TextMapContent_UI_ENET_FORCE_UPDATE	客户端需要更新：{0}
EmbeddedTextMapData_TextMapContent_UI_ENET_DISCONNECT	断开链接
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_INFO	本次测试支持的移动设备为：{0}
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_TITLE	请使用指定的设备型号进行游戏
EmbeddedTextMapData_TextMapContent_UI_LOGO_HEALTHY_GAMING_TIPS	抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活
EmbeddedTextMapData_TextMapContent_UI_NETWORK_EXCEPTION	网络异常，请重启游戏或设备，或关闭网络代理
